bodyId,bx,by,bz,count
10005,34,14,18,182
10005,41,16,22,33
10005,39,20,22,13
10005,40,15,21,192
10005,56,27,24,435
10005,52,25,24,59
10005,34,16,18,196
10005,42,15,24,31
10005,41,16,23,24
10005,38,18,21,17
10005,39,15,14,25
10005,58,28,21,87
10005,52,23,18,14
10005,33,17,18,158
10005,40,25,23,60
10005,37,16,18,41
10005,40,21,18,33
10005,42,22,18,113
10005,31,17,19,128
10005,28,15,20,28
10005,42,26,25,50
10005,36,15,16,74
10005,40,18,14,6
10005,41,18,14,10
10005,41,26,25,32
10005,41,24,22,124
10005,42,29,27,58
10005,41,19,14,8
10005,50,21,16,3
10005,42,27,26,42
10005,33,15,18,293
10005,56,30,30,353
10005,53,23,18,23
10005,42,28,25,95
10005,33,18,20,43
10005,32,14,20,332
10005,54,28,28,443
10005,33,18,18,81
10005,42,21,17,55
10005,42,24,19,50
10005,42,19,15,3
10005,41,19,15,14
10005,30,16,20,205
10005,41,18,13,6
10005,41,23,24,3
10005,32,13,19,369
10005,43,22,19,94
10005,34,14,16,27
10005,30,16,19,235
10005,40,19,12,3
10005,37,15,17,67
10005,41,25,24,49
10005,42,25,24,21
10005,31,14,18,295
10005,41,23,20,99
10005,37,13,16,37
10005,29,16,20,217
10005,41,24,20,73
10005,34,18,19,73
10005,53,30,30,284
10005,32,18,19,146
10005,55,24,22,228
10005,38,15,17,7
10005,35,15,16,112
10005,39,15,21,41
10005,34,16,17,300
10005,40,12,17,21
10005,54,29,28,164
10005,43,25,25,12
10005,56,23,20,110
10005,40,22,17,121
10005,39,23,19,54
10005,39,14,15,53
10005,31,15,19,288
10005,42,18,12,2
10005,35,17,19,65
10005,34,15,16,92
10005,40,17,13,26
10005,53,27,28,119
10005,36,15,17,66
10005,54,33,33,1
10005,39,14,21,29
10005,35,18,18,4
10005,50,20,16,1
10005,32,16,17,174
10005,40,25,24,59
10005,36,16,18,19
10005,43,15,24,32
10005,41,17,12,1
10005,43,16,26,28
10005,53,31,30,1
10005,42,24,22,73
10005,42,24,21,72
10005,42,23,21,26
10005,36,16,16,61
10005,35,15,18,27
10005,39,13,15,35
10005,44,23,20,36
10005,30,15,21,132
10005,33,13,19,112
10005,29,18,19,4
10005,43,25,24,105
10005,41,24,23,50
10005,39,16,12,3
10005,33,16,19,258
10005,31,16,20,188
10005,33,14,18,263
10005,39,23,20,84
10005,53,33,33,273
10005,53,28,29,206
10005,42,24,23,33
10005,31,15,20,301
10005,53,27,25,8
10005,57,33,36,66
10005,34,18,18,26
10005,40,15,22,17
10005,40,28,30,87
10005,43,24,21,61
10005,43,22,18,31
10005,41,29,27,41
10005,38,14,17,13
10005,35,16,18,92
10005,35,18,19,44
10005,40,26,30,8
10005,31,17,20,139
10005,30,17,20,128
10005,33,18,19,112
10005,41,21,17,39
10005,40,17,12,3
10005,42,30,27,69
10005,36,12,18,30
10005,42,28,26,54
10005,42,29,26,23
10005,41,30,27,1
10005,29,17,19,67
10005,42,22,20,25
10005,40,23,20,95
10005,29,15,20,304
10005,40,27,25,29
10005,39,13,17,46
10005,31,13,19,117
10005,51,21,16,6
10005,54,30,32,62
10005,40,28,28,75
10005,41,21,20,74
10005,42,23,19,154
10005,30,14,18,98
10005,32,15,20,312
10005,31,15,17,181
10005,53,24,21,17
10005,40,12,15,50
10005,54,31,30,142
10005,39,28,29,7
10005,54,29,30,160
10005,43,27,26,33
10005,31,13,18,72
10005,42,25,22,77
10005,36,12,20,12
10005,55,23,20,314
10005,39,12,17,19
10005,40,24,22,67
10005,35,14,16,29
10005,38,14,15,43
10005,39,16,20,37
10005,42,17,12,1
10005,40,17,21,8
10005,43,23,21,82
10005,53,23,19,58
10005,55,26,24,48
10005,54,28,27,385
10005,41,29,24,37
10005,41,27,25,41
10005,41,20,15,1
10005,39,24,19,8
10005,54,27,30,108
10005,32,14,18,373
10005,39,27,31,18
10005,31,16,21,37
10005,30,17,19,144
10005,37,17,19,13
10005,30,15,19,362
10005,42,28,27,95
10005,40,26,24,42
10005,39,17,13,1
10005,53,25,23,375
10005,30,14,21,54
10005,58,29,21,97
10005,53,25,22,88
10005,39,20,21,8
10005,41,27,26,40
10005,34,12,18,36
10005,39,16,19,48
10005,40,12,16,55
10005,41,25,23,85
10005,29,17,20,37
10005,54,32,31,66
10005,53,22,18,1
10005,35,14,17,61
10005,39,17,19,7
10005,51,22,16,3
10005,42,12,13,11
10005,33,15,16,47
10005,33,16,18,223
10005,38,16,19,65
10005,48,20,17,1
10005,33,17,19,331
10005,44,19,14,2
10005,34,15,17,292
10005,41,28,28,63
10005,33,19,20,5
10005,41,25,22,61
10005,54,32,32,410
10005,57,27,20,196
10005,39,16,13,3
10005,33,14,19,171
10005,42,11,15,12
10005,34,14,17,130
10005,38,16,20,19
10005,54,30,30,222
10005,53,26,26,489
10005,53,24,20,129
10005,35,13,17,106
10005,31,17,18,97
10005,52,34,34,221
10005,33,13,18,155
10005,32,17,19,198
10005,52,22,17,10
10005,29,16,19,248
10005,34,12,19,12
10005,56,33,35,99
10005,54,31,32,252
10005,53,31,31,44
10005,55,30,31,171
10005,54,28,30,206
10005,56,29,30,152
10005,56,30,29,34
10005,55,28,28,249
10005,55,27,28,41
10005,54,27,28,298
10005,54,27,27,86
10005,53,26,25,11
10005,56,26,25,348
10005,57,25,24,92
10005,55,27,24,28
10005,55,32,35,111
10005,53,32,33,91
10005,57,27,25,96
10005,42,16,23,1
10005,41,16,21,3
10005,32,15,21,50
10005,39,17,21,28
10005,33,14,20,56
10005,37,17,20,17
10005,36,17,19,56
10005,35,16,19,31
10005,55,23,18,35
10005,34,16,19,66
10005,54,23,19,203
10005,43,28,26,55
10005,55,26,21,73
10005,55,25,19,9
10005,42,25,25,13
10005,41,25,25,15
10005,43,16,25,21
10005,42,16,24,6
10005,40,16,22,36
10005,37,18,20,20
10005,34,15,19,45
10005,39,19,21,13
10005,39,18,21,19
10005,38,28,31,24
10005,40,28,29,64
10005,41,28,27,21
10005,40,26,25,42
10005,43,26,25,73
10005,43,26,24,45
10005,43,24,24,3
10005,40,24,21,69
10005,41,24,21,55
10005,41,23,21,51
10005,43,23,19,75
10005,42,22,17,65
10005,41,22,17,121
10005,41,22,18,184
10005,30,16,21,126
10005,30,17,21,11
10005,29,16,21,39
10005,33,13,20,28
10005,35,12,19,18
10005,35,13,19,30
10005,32,14,17,244
10005,32,13,17,1
10005,39,13,16,33
10005,40,13,16,13
10005,40,13,15,104
10005,41,15,22,49
10005,36,11,18,35
10005,30,15,18,224
10005,35,16,16,3
10005,54,25,22,174
10005,34,13,18,49
10005,35,13,18,26
10005,54,32,33,188
10005,54,31,31,166
10005,40,15,20,17
10005,40,22,19,50
10005,41,21,19,96
10005,42,21,19,91
10005,41,22,19,113
10005,41,21,18,109
10005,53,32,32,288
10005,56,26,23,116
10005,56,26,19,85
10005,56,25,19,187
10005,54,24,19,123
10005,56,28,29,257
10005,53,24,19,39
10005,41,24,18,5
10005,54,25,23,394
10005,57,25,18,11
10005,43,21,16,11
10005,40,21,16,17
10005,33,15,19,273
10005,34,17,19,173
10005,34,17,18,248
10005,55,28,29,463
10005,53,26,27,87
10005,40,24,20,78
10005,39,24,20,59
10005,40,22,20,79
10005,41,22,20,99
10005,40,23,19,66
10005,41,23,19,132
10005,42,22,19,71
10005,41,23,18,140
10005,40,23,18,70
10005,40,22,18,86
10005,41,23,17,5
10005,34,14,19,53
10005,57,25,19,99
10005,42,28,28,46
10005,41,13,14,50
10005,40,13,14,89
10005,41,12,13,5
10005,41,12,14,1
10005,40,14,13,17
10005,42,13,13,25
10005,54,27,26,29
10005,54,26,26,68
10005,53,25,24,113
10005,33,16,16,7
10005,37,15,16,48
10005,39,15,20,70
10005,40,28,32,15
10005,39,22,20,17
10005,43,21,19,21
10005,42,20,19,4
10005,42,21,18,63
10005,39,22,18,7
10005,42,21,16,17
10005,43,27,25,35
10005,43,27,24,2
10005,43,25,23,84
10005,41,23,22,27
10005,39,23,21,21
10005,43,22,20,79
10005,38,22,20,5
10005,40,21,17,23
10005,56,27,30,172
10005,56,30,31,62
10005,41,27,29,31
10005,39,28,30,28
10005,55,31,31,74
10005,55,31,30,74
10005,56,29,29,98
10005,56,27,23,171
10005,55,25,23,168
10005,40,25,22,10
10005,57,28,22,251
10005,57,28,21,152
10005,57,28,20,52
10005,41,28,24,30
10005,38,17,19,36
10005,37,17,18,3
10005,39,28,31,50
10005,40,27,29,44
10005,39,17,20,21
10005,32,16,19,257
10005,32,15,18,354
10005,34,15,18,213
10005,55,33,35,34
10005,41,29,30,28
10005,55,26,22,341
10005,55,23,19,414
10005,56,26,24,163
10005,41,24,24,37
10005,40,23,22,20
10005,44,23,21,18
10005,31,14,20,283
10005,30,14,20,144
10005,38,17,20,37
10005,31,13,20,38
10005,29,14,20,66
10005,31,14,19,434
10005,31,16,19,159
10005,36,18,19,8
10005,32,15,19,247
10005,32,18,18,44
10005,32,16,18,231
10005,34,17,17,88
10005,33,15,17,265
10005,35,17,17,20
10005,34,16,16,26
10005,42,12,15,16
10005,40,21,20,25
10005,42,29,24,34
10005,41,28,25,25
10005,44,25,23,13
10005,40,28,31,65
10005,32,15,17,221
10005,32,16,16,13
10005,42,28,29,16
10005,42,23,20,71
10005,56,28,30,138
10005,56,27,25,164
10005,43,25,22,23
10005,31,18,19,29
10005,29,16,18,49
10005,30,17,17,4
10005,32,15,16,35
10005,41,24,19,23
10005,39,18,20,3
10005,42,27,27,7
10005,40,16,21,16
10005,38,17,21,22
10005,33,16,20,52
10005,34,16,20,6
10005,36,13,18,15
10005,36,13,17,33
10005,35,16,17,81
10005,36,14,17,33
10005,37,14,17,9
10005,36,14,16,74
10005,53,30,31,79
10005,55,29,30,275
10005,56,31,29,38
10005,56,31,28,104
10005,38,15,19,21
10005,40,28,27,1
10005,42,29,25,34
10005,55,27,30,179
10005,54,30,29,87
10005,43,26,26,16
10005,39,28,32,32
10005,41,12,15,12
10005,42,31,27,1
10005,42,27,24,31
10005,57,29,23,6
10005,56,25,22,64
10005,56,23,22,37
10005,58,29,24,50
10005,42,25,21,17
10005,42,24,20,30
10005,32,18,20,56
10005,30,17,18,57
10005,56,31,31,43
10005,53,26,24,160
10005,56,28,24,76
10005,54,26,23,246
10005,56,28,23,127
10005,54,25,21,67
10005,56,26,20,50
10005,55,30,32,84
10005,54,29,31,152
10005,52,26,24,94
10005,54,27,23,242
10005,54,25,20,91
10005,57,27,31,101
10005,53,29,31,70
10005,53,29,30,71
10005,55,28,30,126
10005,53,29,29,210
10005,53,27,27,244
10005,40,23,21,67
10005,54,32,34,162
10005,39,27,33,15
10005,40,21,19,14
10005,43,28,25,35
10005,41,15,23,12
10005,35,13,16,23
10005,55,25,24,75
10005,56,24,22,2
10005,43,11,16,29
10005,44,26,24,6
10005,39,25,23,1
10005,35,14,18,27
10005,56,25,23,144
10005,56,25,24,109
10005,56,24,20,37
10005,35,17,18,47
10005,56,24,23,232
10005,40,27,30,16
10005,41,28,30,12
10005,44,24,20,6
10005,39,14,16,30
10005,42,29,28,2
10005,53,25,25,200
10005,34,13,19,56
10005,34,13,17,24
10005,36,13,16,2
10005,43,30,27,17
